,f_10,f_15,f_20,f_21,f_22,f_25,f_26,f_27,f_34,f_48,target
0,0.19,0.1,0.16,0.2,87.65,132.78,-0.01,3.78,2.19,65.74,1
1,0.02,0.01,0.02,0.02,87.65,132.78,-0.01,3.78,0.0,65.73,0
2,0.18,0.17,0.19,0.29,87.65,132.78,-0.01,3.78,1.95,65.81,1
3,0.19,0.1,0.16,0.21,87.65,132.78,-0.01,3.78,2.2,65.67,1
4,0.17,0.09,0.13,0.16,87.65,132.78,-0.01,3.78,2.19,65.66,0
5,0.15,0.15,0.16,0.22,87.65,132.78,-0.01,3.78,1.96,65.77,1
6,0.15,0.14,0.17,0.27,87.65,132.78,-0.01,3.78,1.95,65.79,1
7,0.02,0.02,0.02,0.03,87.65,132.78,-0.01,3.78,1.95,65.67,0
8,0.15,0.09,0.14,0.19,87.65,132.78,-0.01,3.78,2.19,65.67,1
9,0.19,0.12,0.19,0.25,87.65,132.78,-0.01,3.78,2.2,65.58,1
10,0.1,0.09,0.1,0.13,87.65,132.78,-0.01,3.78,1.94,66.18,1
11,0.17,0.12,0.14,0.19,75.26,351.67,0.18,9.24,1.93,66.25,0
12,0.22,0.09,0.15,0.18,75.26,351.67,0.18,9.24,2.17,66.15,0
13,0.24,0.08,0.17,0.22,75.26,351.67,0.18,9.24,2.16,66.34,0
14,0.32,0.08,0.14,0.18,75.26,351.67,0.18,9.24,2.18,65.78,1
15,0.26,0.11,0.15,0.18,75.26,351.67,0.18,9.24,2.19,65.72,1
16,0.25,0.06,0.16,0.19,75.26,351.67,0.18,9.24,2.17,66.18,0
17,0.37,0.12,0.2,0.25,75.26,351.67,0.18,9.24,2.16,66.29,0
18,0.21,0.08,0.16,0.22,75.26,351.67,0.18,9.24,2.17,66.14,0
19,0.22,0.07,0.15,0.19,75.26,351.67,0.18,9.24,2.16,66.23,0
20,0.26,0.08,0.17,0.21,75.26,351.67,0.18,9.24,2.16,66.38,0
21,0.26,0.11,0.19,0.24,75.26,351.67,0.18,9.24,2.16,66.27,0
22,0.23,0.07,0.16,0.2,75.26,351.67,0.18,9.24,2.17,66.19,0
23,0.2,0.07,0.15,0.19,75.26,351.67,0.18,9.24,2.17,66.18,0
24,0.26,0.13,0.21,0.29,75.26,351.67,0.18,9.24,2.16,66.35,0
25,0.24,0.17,0.2,0.25,75.26,351.67,0.18,9.24,2.16,66.39,0
26,0.24,0.1,0.19,0.24,75.26,351.67,0.18,9.24,2.16,66.31,0
27,0.28,0.09,0.2,0.25,75.26,351.67,0.18,9.24,2.17,66.1,0
28,0.15,0.14,0.18,0.25,75.26,351.67,0.18,9.24,1.94,66.04,0
29,0.17,0.07,0.17,0.22,75.26,351.67,0.18,9.24,1.94,66.18,0
30,0.19,0.12,0.16,0.22,75.26,351.67,0.18,9.24,2.17,66.13,0
